model,token_count,token_label,loop_count,sample_count,accuracy,query_iou,cd_l1,cd_l2,fscore_0p02,fscore_0p05,pred_points_mean,gt_points_mean
flex,32,32,4,1283,99.79690428682775,96.96461421861005,0.07580599760471064,0.006729180344935496,24.186325485500635,80.9197662871862,6826.246297739673,100000.0
flex,4,4,4,1283,99.79139251753702,96.88338807324891,0.07583991636626015,0.00674015267867851,24.17654648823729,80.91157537768595,6826.8667186282155,100000.0
flex,64,64,4,1283,99.79774201091193,96.97693933738684,0.075794172751437,0.006729799594662965,24.18918261314797,80.92444452193799,6825.968043647701,100000.0
flex,8,8,4,1283,99.79361387373343,96.91616018459524,0.0758004744449463,0.006725542409267023,24.178380870737907,80.91734913562136,6826.6328916601715,100000.0
flex,128,full,4,1283,99.79830148090413,96.98526229301021,0.0757968009516393,0.00672719408775402,24.188323243333,80.91895947946524,6826.663289166017,100000.0
flex,1,1,5,1283,99.78805284489478,96.83387926466526,0.07577535632352485,0.006649941571641767,24.147293311471945,80.90234041264212,6827.472330475448,100000.0
flex,16,16,5,1283,99.79696414653156,96.96521020289585,0.0757423521155805,0.0066425050293969536,24.176525139279434,80.91527622553615,6825.299298519096,100000.0
flex,2,2,5,1283,99.79018332034295,96.86531607621565,0.07577209415365854,0.006648255767410846,24.15799611252443,80.90492260368002,6826.66017147311,100000.0
flex,32,32,5,1283,99.79831831644583,96.98521377882398,0.07576227592494812,0.00664694098928127,24.165448882787192,80.90658067455468,6825.123928293063,100000.0
flex,4,4,5,1283,99.79324598597039,96.91038546157583,0.07577218223319476,0.006649256294931426,24.16082392485525,80.90597167889379,6825.667965705378,100000.0
flex,64,64,5,1283,99.7989965705378,96.9952044662275,0.07574176658383577,0.006640552723286663,24.182024197559212,80.91443850843096,6825.092751363991,100000.0
flex,8,8,5,1283,99.79541231488699,96.94236724652183,0.0757530326311134,0.006642059479099402,24.171937971528084,80.90880508429068,6825.488698363211,100000.0
flex,128,full,5,1283,99.799453624318,97.00200684159654,0.07571648275558447,0.006633765941901166,24.19537359002843,80.9205572311284,6825.8106001558845,100000.0
flex,1,1,6,1283,99.78815276695245,96.83524649552453,0.075780671675616,0.006649761779311752,24.15801734779975,80.89697078742606,6827.064692127826,100000.0
flex,16,16,6,1283,99.79687981293843,96.96388132645208,0.07573295328726591,0.006638535520464008,24.18527130437845,80.91320873192889,6825.106780982073,100000.0
flex,2,2,6,1283,99.79023476227592,96.86598419120523,0.0757607973782211,0.006643207026386658,24.15957821573518,80.9068012285445,6826.139516757599,100000.0
flex,32,32,6,1283,99.79819376461418,96.98328657333963,0.07574728619681854,0.00664448729467921,24.183152152410013,80.91167782979505,6824.986749805144,100000.0
flex,4,4,6,1283,99.7932116913484,96.90977306657362,0.0757707596693479,0.006647651243537592,24.157249647987022,80.90451116274158,6825.222915042868,100000.0
flex,64,64,6,1283,99.7988587685113,96.99308588795888,0.0757356201409858,0.006641008916409069,24.184565959193836,80.92112024294428,6824.787996882307,100000.0
flex,8,8,6,1283,99.79529290724864,96.94047830590516,0.07577323177423444,0.006651075787633644,24.169189797909407,80.90685059018404,6825.1325019485585,100000.0
flex,128,full,6,1283,99.79926422447389,96.99910743650736,0.07573409499068846,0.006638162897760732,24.170113267741037,80.91887667430954,6825.261106780982,100000.0
